Review #,Review,Token,BIO Tag (For Explicit Aspects),Aspect Tag (For Explicit Aspects),Final Tag (For Explicit Aspects),"General Aspect, Specific Aspect Category (For Explicit Aspects)",Aspect Tag (For Implicit Aspects),Final Tag (For Implicit Aspects),"General Aspect, Specific Aspect Category (For Implicit Aspects)"
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁til,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,a,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁sub,B,PRO#MAT,B - PRO#MAT,"Product, Material",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,rang,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁ni,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,pis,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁mabilis,B,PRO#DUR,B - PRO#DUR,"Product, Durability",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁ma,I,PRO#DUR,I - PRO#DUR,"Product, Durability",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁pun,I,PRO#DUR,I - PRO#DUR,"Product, Durability",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,it,I,PRO#DUR,I - PRO#DUR,"Product, Durability",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁at,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁ang,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁laki,B,PRO#SIZE,B - PRO#SIZE,"Product, Size / Measurement",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁ng,I,PRO#SIZE,I - PRO#SIZE,"Product, Size / Measurement",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁size,I,PRO#SIZE,I - PRO#SIZE,"Product, Size / Measurement",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁niya,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁alam,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁niyo,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁shop,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,ee,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁ma,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,papa,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,mura,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁ako,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁sa,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁kaga,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,gu,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,han,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁niyo,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁nag,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁speak,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁ako,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁na,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,magan,B,PRO#GEN,B - PRO#GEN,"Product, General",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁ang,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁item,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁niyo,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁tapos,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁ito,O,,O - ,,,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁mali,B,PRO#CORR,B - PRO#CORR,"Product, Correctness",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁pa,I,PRO#CORR,I - PRO#CORR,"Product, Correctness",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁ang,I,PRO#CORR,I - PRO#CORR,"Product, Correctness",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁pag,I,PRO#CORR,I - PRO#CORR,"Product, Correctness",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,▁but,I,PRO#CORR,I - PRO#CORR,"Product, Correctness",,,
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,as,I,PRO#CORR,I - PRO#CORR,"Product, Correctness",,,
2,walang silbing product bwesit. di gumagana dalawa pa,▁walang,B,PRO#GEN,B - PRO#GEN,"Product, General",,,
2,walang silbing product bwesit. di gumagana dalawa pa,▁sil,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
2,walang silbing product bwesit. di gumagana dalawa pa,bing,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
2,walang silbing product bwesit. di gumagana dalawa pa,▁product,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
2,walang silbing product bwesit. di gumagana dalawa pa,▁bw,O,,O - ,,,,
2,walang silbing product bwesit. di gumagana dalawa pa,es,O,,O - ,,,,
2,walang silbing product bwesit. di gumagana dalawa pa,it,O,,O - ,,,,
2,walang silbing product bwesit. di gumagana dalawa pa,.,O,,O - ,,,,
2,walang silbing product bwesit. di gumagana dalawa pa,▁di,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
2,walang silbing product bwesit. di gumagana dalawa pa,▁guma,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
2,walang silbing product bwesit. di gumagana dalawa pa,gana,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
2,walang silbing product bwesit. di gumagana dalawa pa,▁dalawa,O,,O - ,,,,
2,walang silbing product bwesit. di gumagana dalawa pa,▁pa,O,,O - ,,,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁d,O,,O - ,,,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁po,O,,O - ,,,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁maganda,B,PRO#GEN,B - PRO#GEN,"Product, General",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁naman,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁po,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁yung,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁ne,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",ck,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁fan,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁pero,O,,O - ,,,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁po,O,,O - ,,,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁napaka,B,DEL#TIME,B - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁ta,I,DEL#TIME,I - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",gal,I,DEL#TIME,I - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁po,I,DEL#TIME,I - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁sya,I,DEL#TIME,I - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁dumating,I,DEL#TIME,I - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁dec,O,,O - ,,,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",9,O,,O - ,,,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁po,O,,O - ,,,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁dec,B,DEL#TIME,B - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁23,I,DEL#TIME,I - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁na,I,DEL#TIME,I - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",po,I,DEL#TIME,I - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁sya,I,DEL#TIME,I - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁dumating,I,DEL#TIME,I - DEL#TIME,"Delivery, Timeliness",,,
3,"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",▁cha,O,,O - ,,,,
